userid,content_id,views,likes,shares,comments,watch_time,engagement_score
user_417,content_1159,9,1,2,0,282,0.000778551928814597
user_49,content_3238,3,3,0,1,44,0.6312108195942204
user_618,content_1060,5,3,2,0,74,0.21841626049353657
user_80,content_433,6,3,1,0,110,0.7670686006224198
user_480,content_461,5,2,1,1,234,0.7588878538474764
user_74,content_3130,1,1,2,2,201,0.1660861472665811
user_156,content_2420,1,4,1,1,166,0.08131371267405418
user_139,content_4530,1,4,1,2,82,0.5036572578246521
user_815,content_749,3,3,1,0,279,0.45162402619243847
user_598,content_3784,6,1,1,1,18,0.31507136320091333
user_946,content_482,8,4,2,2,157,0.7324127720289232
user_457,content_1710,6,3,2,1,139,0.5219868760915986
user_935,content_2132,9,4,1,1,272,0.7066596606647407
user_910,content_1159,6,0,0,0,145,0.26693900883307753
user_416,content_4356,8,4,1,0,115,0.8110814144333577
user_961,content_1111,4,1,1,0,102,0.7241265116047743
user_376,content_2293,8,2,0,0,79,0.655914814377566
user_238,content_3080,3,1,2,2,92,0.801827965340591
user_628,content_2573,9,2,2,0,282,0.11960872873226003
user_568,content_3029,6,3,2,1,16,0.46780181575977275
user_368,content_1623,1,1,0,0,243,0.8695411201770324
user_630,content_3782,7,3,0,1,51,0.44467932418509193
user_694,content_265,3,2,1,0,109,0.5276868425442157
user_732,content_4413,5,0,1,0,8,0.9366371136823064
user_410,content_1228,5,3,1,0,209,0.2543097175362391
user_929,content_4255,3,0,2,0,35,0.7635139626844056
user_92,content_4213,5,2,0,0,10,0.2262041853018859
user_835,content_439,2,1,1,0,293,0.6333489644811906
user_147,content_1516,8,3,0,2,60,0.2859427848353675
user_680,content_4424,6,2,1,2,16,0.7677639580048041
user_996,content_4642,6,1,1,2,103,0.6052452601003707
user_402,content_4563,1,3,2,0,189,0.2861862807506289
user_239,content_2347,2,4,0,1,163,0.8226942691274371
user_707,content_1639,5,1,0,1,178,0.002017600882187609
user_462,content_4706,4,4,1,2,41,0.6539834780024458
user_922,content_595,4,4,2,1,113,0.1786973366435275
user_883,content_3607,5,3,0,1,198,0.4880136676040321
user_39,content_3190,7,3,1,1,131,0.17329465554046453
user_334,content_1203,8,2,0,1,252,0.6515917952842716
user_474,content_3773,5,1,1,0,102,0.9583163444867301
user_492,content_3823,2,0,0,1,160,0.26216444560343144
user_846,content_1082,8,0,1,0,17,0.21466377439686823
user_593,content_3421,4,0,0,1,131,0.21476402358090385
user_17,content_1361,3,3,2,0,245,0.6191734578200391
user_257,content_3670,7,4,1,0,117,0.7659736026562719
user_660,content_4877,1,1,1,2,288,0.6794945924743867
user_26,content_3636,3,0,2,0,251,0.42854647535799184
user_50,content_1271,1,1,2,2,230,0.4992922272123179
user_458,content_100,6,0,2,2,203,0.30703227743033823
user_9,content_3086,6,2,1,2,248,0.6570557930609606
user_980,content_3387,9,0,2,2,19,0.02493143101450812
user_428,content_2478,5,1,1,2,233,0.7160017217847989
user_846,content_1065,6,4,0,1,98,0.3202195537945032
user_160,content_3766,8,1,1,0,196,0.5190376650966706
user_829,content_3442,3,0,0,1,286,0.36242978385681435
user_30,content_458,2,4,2,2,294,0.8437251825333396
user_249,content_1147,2,2,2,2,179,0.20397187787974158
user_777,content_987,9,2,2,2,208,0.10298014523247456
user_497,content_3583,8,4,2,0,101,0.40231254902607405
user_700,content_231,2,3,0,1,212,0.10712074798484161
user_878,content_1511,1,2,2,0,185,0.5076317564098097
user_571,content_4409,2,3,0,0,259,0.9712939211052121
user_908,content_730,8,3,1,0,128,0.6919328493377449
user_528,content_4377,5,0,1,2,187,0.02472202902254217
user_279,content_4163,5,0,0,2,78,0.37540395361730305
user_475,content_4600,9,1,1,2,230,0.8591340016194182
user_846,content_2945,9,2,0,0,31,0.20051908591474588
user_616,content_1302,7,0,2,2,82,0.5981501354804518
user_65,content_2809,3,3,2,2,56,0.9476392912153049
user_412,content_2536,9,3,2,1,117,0.4661098040574676
user_642,content_1240,1,3,1,2,9,0.20773005631844543
user_512,content_4086,3,4,2,0,201,0.033883310568696534
user_124,content_850,1,4,1,2,165,0.7860131018227399
user_484,content_2462,1,1,0,1,75,0.03830910579516289
user_262,content_929,4,2,1,1,70,0.26257905480438726
user_196,content_1439,5,3,1,0,89,0.11292395938284772
user_23,content_2574,7,2,1,0,200,0.07761394105209352
user_763,content_1255,1,4,0,0,225,0.046622009517432006
user_320,content_4364,5,1,0,0,257,0.4857586712667993
user_535,content_1163,8,1,0,1,14,0.25945847593064775
